"Name","Location","Function Signature","Function Size"
"FUN_0040c79c","0040c79c","undefined4 FUN_0040c79c(undefined4 param_1)","110"
"FUN_0040c813","0040c813","undefined FUN_0040c813(undefined4 param_1)","21"
"FUN_0040c828","0040c828","undefined4 FUN_0040c828(void)","6"
"FUN_0040c82e","0040c82e","LPVOID FUN_0040c82e(void)","50"
"FUN_0040c860","0040c860","undefined FUN_0040c860(undefined4 param_1\, undefined4 param_2)","25"
"__mtterm","0040c879","void __mtterm(void)","61"
"FUN_0040c8b6","0040c8b6","undefined FUN_0040c8b6(int param_1\, int param_2)","182"
"FUN_0040c96c","0040c96c","undefined FUN_0040c96c(void)","9"
"FUN_0040c975","0040c975","DWORD * FUN_0040c975(void)","119"
"__getptd","0040c9ec","_ptiddata __getptd(void)","24"
"__freefls@4","0040ca04","undefined __freefls@4(void * param_1)","265"
"FUN_0040cb10","0040cb10","undefined FUN_0040cb10(void)","9"
"FUN_0040cb1c","0040cb1c","undefined FUN_0040cb1c(void)","9"
"__freeptd","0040cb25","void __freeptd(_ptiddata _Ptd)","105"
"__mtinit","0040cb8e","int __mtinit(void)","388"
"___heap_select","0040cd12","undefined4 ___heap_select(void)","85"
"__heap_init","0040cd6d","int __heap_init(void)","90"
"__SEH_prolog4","0040cdc8","undefined __SEH_prolog4(undefined4 param_1\, int param_2)","69"
"__SEH_epilog4","0040ce0d","undefined __SEH_epilog4(void)","20"
"___security_init_cookie","0040ce21","void ___security_init_cookie(void)","148"
"_LocaleUpdate","0040ceb5","undefined _LocaleUpdate(_LocaleUpdate * this\, localeinfo_struct * param_1)","130"
"__forcdecpt_l","0040cf37","void __forcdecpt_l(char * _Buf\, _locale_t _Locale)","113"
"__cropzeros_l","0040cfa8","void __cropzeros_l(char * _Buf\, _locale_t _Locale)","128"
"__fassign_l","0040d03e","void __fassign_l(int flag\, char * argument\, char * number\, _locale_t param_4)","64"
"__shift","0040d095","undefined __shift(void)","29"
"__cftoe2_l","0040d0ce","DWORD __cftoe2_l(uint param_1\, int param_2\, int param_3\, int * param_4\, char param_5\, localeinfo_struct * param_6)","362"
"__cftoe_l","0040d23b","undefined __cftoe_l(double * param_1\, undefined1 * param_2\, uint param_3\, int param_4\, int param_5\, localeinfo_struct * param_6)","206"
"__cftoe","0040d309","errno_t __cftoe(double * _Value\, char * _Buf\, size_t _SizeInBytes\, int _Dec\, int _Caps)","30"
"__cftoa_l","0040d327","DWORD __cftoa_l(double * param_1\, undefined1 * param_2\, uint param_3\, size_t param_4\, int param_5\, localeinfo_struct * param_6)","881"
"__cftof2_l","0040d698","undefined4 __cftof2_l(void * this\, int param_1\, size_t param_2\, char param_3\, localeinfo_struct * param_4)","245"
"__cftof_l","0040d78d","undefined __cftof_l(double * param_1\, undefined1 * param_2\, int param_3\, size_t param_4\, localeinfo_struct * param_5)","185"
"__cftog_l","0040d846","undefined __cftog_l(double * param_1\, undefined1 * param_2\, uint param_3\, size_t param_4\, int param_5\, localeinfo_struct * param_6)","248"
"__cfltcvt_l","0040d93e","errno_t __cfltcvt_l(double * arg\, char * buffer\, size_t sizeInBytes\, int format\, int precision\, int caps\, _locale_t plocinfo)","134"
"__cfltcvt","0040d9c4","errno_t __cfltcvt(double * arg\, char * buffer\, size_t sizeInBytes\, int format\, int precision\, int caps)","33"
"__initp_misc_cfltcvt_tab","0040d9e5","undefined __initp_misc_cfltcvt_tab(void)","31"
"__setdefaultprecision","0040da04","undefined __setdefaultprecision(void)","38"
"__ms_p5_test_fdiv","0040da2d","undefined4 __ms_p5_test_fdiv(void)","60"
"__ms_p5_mp_test_fdiv","0040da69","undefined __ms_p5_mp_test_fdiv(void)","41"
"___report_gsfailure","0040da92","void ___report_gsfailure(void)","260"
"fastzero_I","0040db96","undefined fastzero_I(undefined1[16] * param_1\, uint param_2)","79"
"__VEC_memzero","0040dbed","undefined1[16] * __VEC_memzero(undefined1[16] * param_1\, undefined4 param_2\, uint param_3)","143"
"strtoxl","0040dc90","ulong strtoxl(localeinfo_struct * param_1\, char * param_2\, char * * param_3\, int param_4\, int param_5)","555"
"_strtol","0040debb","long _strtol(char * _Str\, char * * _EndPtr\, int _Radix)","41"
"_strtoul","0040dee4","ulong _strtoul(char * _Str\, char * * _EndPtr\, int _Radix)","42"
"_abort","0040df0e","void _abort(void)","243"
"__set_abort_behavior","0040e001","uint __set_abort_behavior(uint _Flags\, uint _Mask)","30"
"FUN_0040e01f","0040e01f","undefined FUN_0040e01f(undefined4 param_1)","10"
"_Type_info_dtor","0040e029","void _Type_info_dtor(type_info * param_1)","103"
"FUN_0040e090","0040e090","undefined FUN_0040e090(void)","9"
"_strcmp","0040e0a0","int _strcmp(char * _Str1\, char * _Str2)","135"
